"Solr","Solr"
"General","Allgemein"
"Is active","Ist aktiv"
"Is active for Search","Ist aktiv für Suche"
"Activate Logging","Logging aktivieren"
"The logs can be found at var/log/solr.log. Make sure to have logging activated.","Die Logs befinden sich unter var/log/solr.log. Achtung: Logging muss aktiviert sein."
"Solr Server","Solr-Server"
"Host","Host"
"Example: localhost, 192.168.46.102","Beispiel: localhost, 192.168.46.102"
"Server Port","Server-Port"
"Example: 8081","Beispiel: 8081"
"Path","Pfad"
"Example: /solr/","Beispiel: /solr/"
"Core","Core"
"Example: collection1, core0","Beispiel: collection1, core0"
"Sensitivity for Search","Sensibilität für Suche"
"Value between 0 and 1. Smaller values mean more fuzzy search results.","Wert zwischen 0 und 1. Je kleiner, desto unschärfer."
"Minimum results, if smaller active fuzzy", "Minimum Ergebnisse, wenn kleiner dann Fuzzy aktivieren"
"Number of Sufficient Direct Search Results","Anzahl ausreichender direkter Suchergebnisse"
"If there are at least this many search results, fuzzy search will not be performed. If you enter 0 or no value, fuzzy search will always be performed.","Gibt es mindestens so viele direkte Suchergebnisse, wird keine unscharfe Suche durchgeführt. Wird der Wert 0 oder kein Wert eingetragen, wird die unscharfe Suche immer durchgeführt."
"Fuzzy Search","Unscharfe Suche"
"Solr Boost","Solr Boost"
"Solr Priority","Solr-Priorität"
"Solr Priority of Category Names","Solr-Priorität von Kategorienamen"
"1 is default, use higher numbers for higher priority.","1 ist Standard, höhere Werte für höhere Priorität"
"Search Results","Suchergebnisse"
"IntegerNet_Solr::Search Results","Suchergebnisse"
"0 = show all","0 = alle anzeigen"
"Type of Category Links","Typ von Kategorie-Links"
"Indexing","Indizierung"
"Number of Products per Bunch","Anzahl Produkte pro Durchlauf"
"Higher number means better indexing performance. Reduce if you are getting memory errors.","Höhere Anzahl ergibt eine bessere Performance bei der Indizierung. Reduzieren Sie die Anzahl, wenn Sie Speicherfehler erhalten."
"Exclude this Category from Solr Index","Diese Kategorie vom Solr-Index ausnehmen"
"Exclude Child Categories from Solr Index","Kind-Kategorien vom Solr-Index ausnehmen"
"Exclude only Categories, not included Products","Bezieht sich nur auf Kategorien, nicht die darin enthaltenen Produkte"
"HTTP Transport Method","HTTP-Übertragungsmethode"
"Please change if you are getting communication errors","Bitte wechseln, falls Sie Übertragungsfehler erhalten"
