"Solr","Solr"
"General","Général"
"Is active","Est actif"
"Is active for Search","Est actif pour la recherche"
"Activate Logging","Activer la journalisation"
"The logs can be found at var/log/solr.log. Make sure to have logging activated.","Les journaux peuvent être trouvés dans var / log / solr.log. Assurez-vous d'avoir activé la journalisation."
"Solr Server","Serveur Solr"
"Host","Hôte"
"Example: localhost, 192.168.46.102","Exemple: localhost, 192.168.46.102"
"Server Port","Port de serveur"
"Example: 8081","Exemple: 8081"
"Path","Chemin"
"Example: /solr/","Exemple: /solr/"
"Core","Noyau"
"Example: collection1, core0","Exemple: collection1, core0"
"Sensitivity for Search","Sensibilité à la recherche"
"Value between 0 and 1. Smaller values mean more fuzzy search results.","Valeur comprise entre 0 et 1. Des valeurs plus petites signifient des résultats de recherche plus flous."
"Minimum results, if smaller active fuzzy", "Résultats minimum, si plus petit alors activez flou"
"Number of Sufficient Direct Search Results","Nombre de résultats de recherche directe suffisants"
"If there are at least this many search results, fuzzy search will not be performed. If you enter 0 or no value, fuzzy search will always be performed.","S'il y a au moins autant de résultats de recherche, la recherche floue ne sera pas effectuée. Si vous entrez 0 ou aucune valeur, la recherche floue sera toujours effectuée."
"Fuzzy Search","Recherche floue"
"Solr Boost","Solr Boost"
"Solr Priority","Priorité Solr"
"Solr Priority of Category Names","Priorité Solr des noms de catégorie"
"1 is default, use higher numbers for higher priority.","1 est la valeur par défaut, utilisez des nombres plus élevés pour une priorité plus élevée."
"Search Results","Résultats de recherche"
"IntegerNet_Solr::Search Results","Résultats de recherche"
"0 = show all","0 = afficher tout"
"Type of Category Links","Type de liens de catégorie"
"Indexing","Indexation"
"Number of Products per Bunch","Nombre de produits par cycle"
"Higher number means better indexing performance. Reduce if you are getting memory errors.","Un nombre plus élevé signifie une meilleure performance d'indexation. Réduisez le nombre, si vous obtenez des erreurs de mémoire."
"Exclude this Category from Solr Index","Exclure cette catégorie de l'index Solr"
"Exclude Child Categories from Solr Index","Exclure les catégories enfants de l'index Solr"
"Exclude only Categories, not included Products","Ne concerne que les catégories, pas les produits qu'ils contiennent"
"HTTP Transport Method","Méthode de transport HTTP"
"Please change if you are getting communication errors","Veuillez changer si vous obtenez des erreurs de communication"
